,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
43,rust-ocpp,codelabsab/rust-ocpp,[],smart-grid-protocols,https://github.com/tommymalmqvist/rust-ocpp,https://github.com/tommymalmqvist/rust-ocpp,Apache-2.0,2021-06-04 08:32:04,2026-05-25 18:30:10,2026-02-25 19:30:01,327,,33.0,6,191.0,1.0,30.0,99,2025-11-30 08:20:21,3.0.4,,,11.0,"Libraries for ocpp 1.6, 2.0.1 and 2.1.",25.0,25.0,11.0,16,False,1,tommymalmqvist/rust-ocpp,-1.0
44,statig,mdeloof/statig,[],fsm,https://github.com/mdeloof/statig,https://github.com/mdeloof/statig,MIT,2021-08-19 20:51:31,2025-11-29 12:49:39,2025-11-29 12:49:38,167,,39.0,6,37.0,4.0,38.0,783,,,,,,Hierarchical state machines for designing event-driven systems.,69.0,69.0,16.0,15,True,1,,
45,dbus-rs,diwic/dbus-rs,['dbus'],ipc,https://github.com/diwic/dbus-rs,https://github.com/diwic/dbus-rs,,2014-11-23 12:14:49,2026-04-22 15:22:08,2026-04-22 15:19:40,1160,7.0,142.0,9,198.0,13.0,260.0,664,,,,,,D-Bus binding for the Rust language.,5.0,5.0,96.0,15,False,2,,
46,onnxruntime,nbigaouette/onnxruntime-rs,['x86_64'],aie,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,Apache-2.0,2020-08-04 03:04:15,2024-03-06 16:33:46,2022-07-19 00:34:22,447,,102.0,10,67.0,48.0,20.0,326,,,,,,Rust wrapper for Microsofts ONNX Runtime (version 1.8).,228.0,228.0,9.0,15,False,3,,
47,rust-fsm,eugene-babichenko/rust-fsm,[],fsm,https://github.com/eugene-babichenko/rust-fsm,https://github.com/eugene-babichenko/rust-fsm,MIT,2019-01-20 12:51:27,2025-07-21 09:41:06,2025-07-21 09:40:08,106,,26.0,3,11.0,1.0,5.0,255,2025-07-21 09:44:10,0.8.0,,,5.0,Finite state machine framework for Rust with readable specifications.,167.0,167.0,7.0,15,True,1,,
48,rmodbus,alttch/rmodbus,[],modbus,https://github.com/alttch/rmodbus,https://github.com/alttch/rmodbus,Apache-2.0,2020-09-13 14:25:14,2025-09-29 00:31:51,2025-09-29 00:31:46,297,,30.0,3,33.0,5.0,18.0,169,,,,,,Modbus framework for Rust.,63.0,63.0,21.0,15,True,2,,
49,modbus-rs,hirschenberger/modbus-rs,[],modbus,https://github.com/hirschenberger/modbus-rs,https://github.com/hirschenberger/modbus-rs,MIT,2015-11-03 01:00:32,2026-02-25 13:33:32,2026-02-25 13:33:31,177,,31.0,8,23.0,7.0,16.0,108,2023-12-20 11:37:30,1.1.0,,,23.0,Modbus implementation in pure Rust.,44.0,44.0,12.0,15,True,2,,
50,openleadr-rs,OpenLEADR/openleadr-rs,[],smart-grid-protocols,https://github.com/OpenLEADR/openleadr-rs,https://github.com/OpenLEADR/openleadr-rs,,2024-10-01 13:50:22,2026-05-27 15:25:53,2026-05-27 15:15:02,333,92.0,23.0,10,365.0,21.0,50.0,83,2026-05-05 10:29:27,0.2.2,,,13.0,OpenADR 3.0 VTN and VEN implementation in Rust.,,,18.0,15,False,2,,
51,rustbus,KillingSpark/rustbus,['dbus'],ipc,https://github.com/KillingSpark/rustbus,https://github.com/KillingSpark/rustbus,MIT,2020-01-22 11:05:05,2024-06-22 14:58:39,2024-06-22 14:58:38,679,,14.0,4,72.0,8.0,45.0,64,2023-08-29 16:50:59,0.19.3,,,22.0,Dbus transport in pure rust.,158.0,158.0,17.0,15,False,2,,
52,r2r,sequenceplanner/r2r,[],robotics,https://github.com/sequenceplanner/r2r,https://github.com/sequenceplanner/r2r,,2019-08-20 09:10:16,2025-04-22 08:30:50,2025-04-22 08:27:18,346,,54.0,13,67.0,9.0,51.0,423,,,,,,Minimal ROS 2 Rust bindings.,163.0,163.0,29.0,14,False,3,,
53,duvet,awslabs/duvet,[],tools,https://github.com/awslabs/duvet,https://github.com/awslabs/duvet,Apache-2.0,2021-06-01 21:00:39,2026-05-28 18:05:07,2026-05-28 18:02:33,107,11.0,22.0,9,173.0,40.0,18.0,140,2026-04-02 23:42:08,0.4.2,,,5.0,A requirements traceability tool.,,,19.0,14,True,3,,
54,rust-industrial-io,fpagliughi/rust-industrial-io,[],iio,https://github.com/fpagliughi/rust-industrial-io,https://github.com/fpagliughi/rust-industrial-io,MIT,2018-10-07 23:42:44,2025-09-18 03:18:15,2025-09-13 23:13:13,170,,26.0,4,19.0,5.0,12.0,60,2024-12-10 16:52:12,0.6.0,,,9.0,Rust interface to the Linux Industrial I/O subsystem.,24.0,24.0,13.0,14,False,1,,
55,ftdi-embedded-hal,ftdi-rs/ftdi-embedded-hal,[],chip-drivers,https://github.com/ftdi-rs/ftdi-embedded-hal,https://github.com/ftdi-rs/ftdi-embedded-hal,MIT,2021-09-26 16:00:45,2026-04-18 17:46:28,2026-04-18 17:46:26,123,1.0,22.0,2,67.0,5.0,10.0,44,2026-01-03 18:44:06,0.24.0,,,20.0,Implementation of Rust Embedded HAL traits for FTDI devices.,60.0,60.0,16.0,14,False,1,,
56,SSH,RustCrypto/SSH,['pure-rust'],ssh,https://github.com/RustCrypto/SSH,https://github.com/RustCrypto/SSH,,2022-09-25 17:17:29,2026-05-26 15:00:17,2026-05-26 15:00:17,404,51.0,56.0,2,476.0,8.0,56.0,231,,,,,,Pure Rust implementation of components of the Secure Shell (SSH) protocol.,,,32.0,13,False,3,,1.0
57,cargo-call-stack,japaric/cargo-call-stack,[],tools,https://github.com/japaric/cargo-call-stack,https://github.com/japaric/cargo-call-stack,Apache-2.0,2018-12-03 01:52:30,2024-10-28 17:29:02,2024-10-28 17:27:44,192,,51.0,9,58.0,37.0,23.0,658,,,,,,Whole program static stack analysis.,1.0,1.0,11.0,12,False,3,,
58,snmp2,roboplc/snmp2,[],nmp,https://github.com/roboplc/snmp2,https://github.com/roboplc/snmp2,Apache-2.0,2024-12-28 20:04:55,2026-03-01 19:51:49,2026-03-01 19:51:45,113,11.0,23.0,1,20.0,4.0,8.0,55,,,,,,Dependency-free basic SNMP v1/v2/v3 client in Rust.,32.0,32.0,14.0,12,False,1,,
59,meta-rust-bin,rust-embedded/meta-rust-bin,[],yocto-integration,https://github.com/rust-embedded/meta-rust-bin,https://github.com/rust-embedded/meta-rust-bin,,2016-09-02 06:04:55,2026-04-17 08:01:10,2026-04-17 08:01:07,317,2.0,87.0,20,162.0,27.0,47.0,127,,,,,,Yocto layer for installing Rust toolchain from pre-built binaries.,,,45.0,10,False,3,,
60,mctp-rs,CodeConstruct/mctp-rs,[],platform-management,https://github.com/CodeConstruct/mctp-rs,https://github.com/CodeConstruct/mctp-rs,Apache-2.0,2024-03-18 22:52:25,2026-05-21 04:48:46,2026-05-21 04:48:46,344,10.0,11.0,4,49.0,1.0,2.0,18,,,,,,"Rust crates for MCTP protocol support, on Linux and embedded.",9.0,9.0,7.0,10,False,1,,
61,rust-extfsm,przygienda/rust-extfsm,[],fsm,https://github.com/przygienda/rust-extfsm,https://github.com/przygienda/rust-extfsm,Apache-2.0,2017-07-05 05:56:13,2026-05-12 18:47:14,2026-05-12 18:47:14,56,4.0,7.0,3,5.0,,2.0,51,2018-08-08 05:45:30,0.8.0,,,1.0,Extended Finite State Machine library in Rust with internal event queue and entry/exit transitions.,,,6.0,9,False,3,,
62,meta-slint,slint-ui/meta-slint,[],yocto-layers,https://github.com/slint-ui/meta-slint,https://github.com/slint-ui/meta-slint,MIT,2022-12-07 14:53:07,2026-04-24 13:37:59,2026-04-23 15:46:07,235,5.0,9.0,2,20.0,2.0,4.0,22,,,,,,A Yocto layer with recipes for building Slint.,,,7.0,9,False,1,,
63,finny,hashmismatch/finny.rs,[],fsm,https://github.com/hashmismatch/finny.rs,https://github.com/hashmismatch/finny.rs,,2017-02-11 12:47:58,2024-04-13 15:26:44,2022-01-24 20:53:44,86,,7.0,3,12.0,3.0,6.0,73,2022-01-24 20:58:38,0.2.0,,,3.0,Finite State Machines for Rust.,3.0,3.0,1.0,8,False,3,,
64,modbus-core,slowtec/modbus-core,[],modbus,https://github.com/slowtec/modbus-core,https://github.com/slowtec/modbus-core,,2018-12-11 13:50:43,2025-10-31 10:39:52,2025-10-31 10:39:52,87,,23.0,4,27.0,4.0,5.0,61,,,,,,A pure no-std Rust modbus library.,4.0,4.0,9.0,8,False,3,,
65,sunspec,bikeshedder/sunspec,[],smart-grid-protocols,https://github.com/bikeshedder/sunspec,https://github.com/bikeshedder/sunspec,Apache-2.0,2023-10-31 20:28:16,2026-04-01 21:21:31,2026-04-01 21:21:17,115,21.0,6.0,1,12.0,4.0,10.0,10,,,,,,Rust crate for accessing SunSpec compliant devices in a safe and convenient way.,2.0,2.0,3.0,8,False,2,,
66,memfault-linux-sdk,memfault/memfault-linux-sdk,[],ota-integration,https://github.com/memfault/memfault-linux-sdk,https://github.com/memfault/memfault-linux-sdk,,2022-07-18 13:03:21,2026-03-26 20:43:49,2026-03-26 20:42:27,43,2.0,9.0,13,1.0,,,43,,,,,,"Memfault SDK for embedded Linux systems. Observability, logging, crash reporting, and updating all in one service...",,,3.0,6,False,1,,
67,tss2-fapi-rs,tpm2-software/rust-tss-fapi,[],tpm,https://github.com/tpm2-software/rust-tss-fapi,https://github.com/tpm2-software/rust-tss-fapi,,2024-08-16 13:18:55,2026-05-07 17:57:33,2026-05-07 17:57:28,101,19.0,1.0,3,2.0,,1.0,14,2026-04-24 10:20:25,0.13.3,51.0,2.0,22.0,Rust wrapper for the TSS 2.0 FAPI.,,,2.0,6,False,1,,
68,dbus-bytestream,srwalter/dbus-bytestream,['dbus'],ipc,https://github.com/srwalter/dbus-bytestream,https://github.com/srwalter/dbus-bytestream,LGPL-2.1,2015-06-28 04:47:09,2018-10-18 13:29:47,2018-10-18 13:29:46,72,,4.0,3,9.0,4.0,1.0,6,,,,,,Native D-Bus implementation for Rust.,6.0,6.0,4.0,6,False,3,,
